CO2 Emissions: 0.005140697641224397 kg
Peak Memory Usage: 3056.34765625 MB

Profile Stats:
         36904374 function calls (34790896 primitive calls) in 865.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     65/1   10.910    0.168  865.292  865.292 /usr/local/lib/python3.11/dist-packages/keras/src/utils/traceback_utils.py:110(error_handler)
        1  117.566  117.566  858.695  858.695 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/trainer.py:291(fit)
    18760    0.530    0.000  693.969    0.037 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/trainer.py:215(function)
190698/93793    0.610    0.000  690.680    0.007 /usr/local/lib/python3.11/dist-packages/tensorflow/python/util/traceback_utils.py:138(error_handler)
18762/18760    0.830    0.000  675.197    0.036 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/polymorphic_function.py:805(__call__)
18762/18760    0.412    0.000  673.016    0.036 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/polymorphic_function.py:852(_call)
    18760    0.415    0.000  667.537    0.036 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/tracing_compilation.py:125(call_function)
    18763    0.442    0.000  642.032    0.034 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/concrete_function.py:1267(_call_flat)
    18761    0.180    0.000  640.989    0.034 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/atomic_function.py:214(call_preflattened)
    18763    1.757    0.000  635.236    0.034 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/atomic_function.py:219(call_flat)
    18761    0.472    0.000  631.561    0.034 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/context.py:1675(call_function)
    18761    0.219    0.000  630.846    0.034 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/execute.py:28(quick_execute)
    18761  630.553    0.034  630.553    0.034 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
       10    0.068    0.007   42.822    4.282 /usr/local/lib/python3.11/dist-packages/keras/src/backend/tensorflow/trainer.py:427(evaluate)
    15630    0.065    0.000   37.589    0.002 /usr/local/lib/python3.11/dist-packages/keras/src/callbacks/callback_list.py:168(on_train_batch_end)
    15630    0.175    0.000   37.524    0.002 /usr/local/lib/python3.11/dist-packages/keras/src/callbacks/callback_list.py:191(_on_train_batch_end)
    15630    0.041    0.000   36.740    0.002 /usr/local/lib/python3.11/dist-packages/keras/src/callbacks/progbar_logger.py:57(on_train_batch_end)
    15630    0.173    0.000   36.699    0.002 /usr/local/lib/python3.11/dist-packages/keras/src/callbacks/progbar_logger.py:88(_update_progbar)
    15640    1.168    0.000   36.557    0.002 /usr/local/lib/python3.11/dist-packages/keras/src/utils/progbar.py:62(update)
18776/18772    0.309    0.000   19.697    0.001 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/tracing_compilation.py:144(trace_function)
18776/18772    0.391    0.000   19.305    0.001 /usr/local/lib/python3.11/dist-packages/tensorflow/python/eager/polymorphic_function/tracing_compilation.py:188(_maybe_define_function)
